Last Name,First Name,Middle Name,Title,Subtitle,Language,Year,Series,ID,Last Name UPPER,Middle Name UPPER,First Name UPPER
Кинг,Стивен,,Docteur Sleep,,fr,2013.0,Shining 2,350929,КИНГ,,СТИВЕН
Кинг,Стивен,,Doctor Sleep,,en,2013.0,Shining 2,338317,КИНГ,,СТИВЕН
Кинг,Стивен,,Doctor Sleep,,de,2013.0,,342947,КИНГ,,СТИВЕН
Кинг,Стивен,,Dolan's Cadillac,,en,,Nightmares And Dreamscapes 1,173376,КИНГ,,СТИВЕН
Кинг,Стивен,,Dolores Claiborne,,pl,,,293555,КИНГ,,СТИВЕН
Кинг,Стивен,,Dolores Claiborne,,en,1993.0,,313891,КИНГ,,СТИВЕН
Кинг,Стивен,,Dôme.  Tome 1,Under the Dome - fr,fr,2011.0,litt.generale 0,247415,КИНГ,,СТИВЕН
Кинг,Стивен,,Dôme.  Tome 2,Under the Dome - fr,fr,2011.0,litt.generale 0,247416,КИНГ,,СТИВЕН
Кинг,Стивен,,Dreamcatcher,,en,2001.0,Stephen Kings Novels 44,216255,КИНГ,,СТИВЕН
Кинг,Стивен,,Duddits,,de,,,330380,КИНГ,,СТИВЕН
Кинг,Стивен,,Duma Key,,en,,Stephen Kings Novels 52,273984,КИНГ,,СТИВЕН
Кинг,Стивен,,Elevation,,en,2018.0,,532333,КИНГ,,СТИВЕН
Кинг,Стивен,,End of Watch,,en,2016.0,Bill Hodges Trilogy 3,450153,КИНГ,,СТИВЕН
Кинг,Стивен,,Es,,de,,,244323,КИНГ,,СТИВЕН
Кинг,Стивен,,Everything's Eventual,,en,,Stephen King Short Story Collection 4,269479,КИНГ,,СТИВЕН
Кинг,Стивен,,Fairy Tale,,en,2022.0,,687388,КИНГ,,СТИВЕН
Кинг,Стивен,,Faithful,,en,2004.0,,279914,КИНГ,,СТИВЕН
Кинг,Стивен,,Fin de ronde,,fr,2017.0,A.M.THRIL.POLAR 0|La Trilogie Bill Hodges 3,522603,КИНГ,,СТИВЕН
